team,base,average_aika,average_eteneminen,week
2004,2,4.0979329999998977500,4.4829315000000062500,24
2009,2,3.8838643333334253333,4.2438633333333656667,24
2007,2,3.8359956000001146000,4.2719940000001768000,24
2007,1,3.8799955999998472000,4.2159939999996822000,24
2007,3,4.9839993999998112000,5.4639965999999730000,24
2012,3,5.4626734999997095000,6.4026654999997845000,24
2010,1,4.0799936666667233333,4.4799936666666630000,24
2010,3,5.3133326666664593333,5.4933306666665280000,24
2010,2,3.9349959999999560000,4.2449942499999910000,24
2002,1,4.1399918571430267143,4.5071335714287671429,25
2002,3,5.2080913333331865000,6.0447561666667298333,25
2012,1,4.2868973333335891667,4.6568965000001678333,25
2012,3,5.4185919999998383333,5.8785866666666306667,25
2002,2,3.9911962222224448889,4.3111947777777762222,25
2012,2,4.0105695000002020000,4.3205685000002635000,25
2011,2,3.9014533750000736875,4.2139525000001753125,25
2013,3,5.4701240000001365714,6.8101227142857561429,25
2011,3,5.2932330000001526154,6.0640008461538085385,25
2013,1,4.2437814999998978750,4.7061337499998785000,25
2011,1,4.0723937142858760714,4.3609648571429520714,25
2013,2,3.9921979999997868571,4.3321967142856335714,25
2003,1,4.0672712499999761250,4.4547702499998536250,25
2003,3,5.1696897499996337500,6.3396884999998520000,25
2003,2,4.0915586666669693333,4.4715586666667753333,25
2010,2,3.8942764285715642857,4.2342762857143887143,25
2010,1,4.1436060000000906000,4.5676044000000274000,25
2010,3,5.2388480000001438000,5.9308465999999954000,25
2009,2,3.8066663333329416667,4.4266663333334390000,25
2007,1,4.2460225000002082500,4.6860212500001807500,25
2007,2,3.9775566666665626667,4.3042233333330840000,25
2007,3,5.3630405999997494000,6.0910401999997704000,25
2006,2,3.7999983333334056667,4.0866646666665170000,25
2008,2,3.9061770000000710000,4.2211769999996705000,25
2008,1,4.1959993999998914000,4.5559970000002068000,25
2006,3,5.0599980000006320000,5.2799950000007810000,25
2004,3,5.3499992499999960000,5.6349975000000540000,25
2004,2,4.1099978750002605000,4.4224962500001651250,25
2008,3,5.2099955000003320000,5.4299930000006500000,25
2004,1,4.2166645000002821667,4.4766639999998765000,25
2001,1,3.9949727500002157500,4.4699720000000982500,25
2001,3,5.2626760000002833333,5.7226733333333566667,25
2001,2,4.0356145000000651250,4.5006127499999025000,25
2005,1,3.9999987500002590000,4.3099984999995515000,25
2005,3,5.1399985000002745000,5.2499965000004065000,25
2005,2,3.8999999999996363333,4.2266653333334336667,25
2011,2,3.9562316666665538889,4.3273413333333540000,26
2009,1,4.2850860000001680000,4.7050843333336160000,26
2009,3,5.2464184999998910000,5.7364169999998470000,26
2011,3,5.2293627499998367500,6.6243604999995115000,26
2009,2,4.0419899999998052000,4.4459893999999622000,26
2011,1,4.0463528750000251250,4.4650843750001172500,26
2013,2,3.9742834285715875714,4.3342834285715850000,26
2013,1,4.0853321333331223333,4.4839985999998286667,26
2013,3,5.1799989999999526667,5.6133323333333463333,26
2002,1,4.0799994999999855000,4.5049994999997125000,26
2002,3,5.0399955000000315000,5.5099935000002915000,26
2002,2,3.9933300000000906667,4.3866633333336723333,26
2010,1,4.1799989999994975000,4.4899974999993900000,26
2012,2,4.0299989999994828333,4.3333319999994730000,26
2010,2,3.8959973999997598000,4.2359972000000196000,26
2012,3,5.4199999999999210000,5.7333333333329693333,26
2010,3,5.2999994999993310000,5.4999994999993760000,26
2006,3,4.9439974000001712000,5.2879974000002222000,26
2006,1,3.8599999999999000000,4.4199994999999035000,26
2006,2,3.6333303333332576667,4.0399970000000090000,26
2007,1,4.1174074000001385000,4.4314061000000040000,26
2007,2,3.9955112000000099000,4.3655099999999038000,26
2001,1,4.1608232222222593333,4.4550222222222954444,26
2007,3,5.1299705714287874286,5.8013969999999842857,26
2001,2,3.9270038750001390000,4.2395028750000848750,26
2001,3,5.3419481666664978333,5.8152804999999718333,26
2005,3,5.1112736666669762222,5.3201620000001842222,26
2005,1,4.0085711428572982857,4.3514282857141291429,26
2003,1,4.1799999999996087500,4.5149989999997615000,26
2005,2,3.8688877777773693333,4.0577761111108985556,26
2003,2,4.0399984999999110000,4.2599974999998270000,26
