team,base,average_aika,average_eteneminen,week
1007,1,4.0175726666668802667,4.3522387333334032000,23
1001,3,5.0944638750000591875,6.0744618750000825000,23
1001,2,4.1057880555555736111,4.4324540555554803333,23
1007,3,5.2435641666668288333,5.8668913333333421667,23
1003,3,5.1379002142857642857,5.6517643571429354286,23
1009,3,5.2754925714287828571,5.6772651428570627143,23
1009,1,4.0766622941175283529,4.3510529999999455294,23
1003,2,3.9491137333334337333,4.3533587999999934000,23
1009,2,4.0275700909091730000,4.3475673636362857273,23
1003,1,4.0464062000000467000,4.3621818999999733000,23
1015,3,5.2250377142857234286,5.9110195714286291429,23
1015,2,4.0081626363637703636,4.3754330909091136364,23
1015,1,4.0414258947369873684,4.4024778947369477895,23
1008,1,4.0284072500002137500,4.2884050000003527500,23
1008,2,3.9994220000002087500,4.2844215000004625000,23
1008,3,4.9059689999994590000,5.3059690000000050000,23
1011,1,4.1165346000000686000,4.5485329999999524000,23
1011,2,4.1488306666668298333,4.6240176666667595000,23
1004,1,4.0311932727273332727,4.3402828181818388182,24
1004,3,5.0553823157892302632,5.6238007368416986316,24
1011,1,4.0756400000000627727,4.4410937727272995455,24
1004,2,4.0362530000001736364,4.3580703636365465455,24
1011,3,5.0816699230768230769,5.6185917692308836154,24
1011,2,4.0601929999999505833,4.4551925833332005833,24
1012,1,4.0046069999999823684,4.3698688947367588421,24
1012,3,4.9821854999999765833,5.4688504166667070833,24
1014,2,4.0725341818180970000,4.3634419090908421818,24
1014,3,5.1981356875000700000,5.9881335625002520625,24
1012,2,3.9585699565217233478,4.2976994782607899130,24
1014,1,4.0290005000000033571,4.2975708571428056429,24
1007,3,5.1139979000000948000,5.4939963000001171000,24
1005,2,3.9722194285715368571,4.2330994285715146429,24
1005,3,5.0159934285715215714,5.4963240000000237143,24
1007,1,3.9799996000001100000,4.2339979000000766000,24
1005,1,4.0280907647058804118,4.2975014705881381765,24
1007,2,4.1799990000004072500,4.4249975000003587500,24
1015,1,3.9818151818178440909,4.2763596363635190000,24
1015,2,3.9599972727270059091,4.2563591818178875455,24
1003,3,5.0511499473683027368,5.6500957894738446842,24
1001,2,4.1095139999999900909,4.3731490000000120909,24
1003,2,3.9798634666666356000,4.2891956000000090000,24
1001,1,4.0356412500001021667,4.3556411666666010833,24
1001,3,5.0115662857142850000,5.5608477142855984286,24
1003,1,3.9780986363636080000,4.3090063636363581818,24
1008,3,5.2499990000000405000,5.5599985000000441667,24
1008,1,4.1514277142854164286,4.3628561428569291429,24
1008,2,4.1799980000000687500,4.4299977499999840000,24
1009,3,5.1499955000003870000,5.2799939999999880000,24
1009,1,4.0311101111110727778,4.3511091111111505556,24
1009,2,4.0759993999997276000,4.3759993999993640000,24
1010,2,3.9507208750000018750,4.3382194374998733125,24
1010,1,4.0036189999999475455,4.3636177272726607273,24
1010,3,5.1005638181818125455,5.8023797272728022727,24
1015,3,5.1099999999999000000,5.3800000000001095000,24
1002,2,3.9806316428572308571,4.2620592142857277143,24
1002,3,5.0736461111110253333,5.5691988888888774444,24
1002,1,3.9736169999999091429,4.2213161428571117143,24
1006,2,3.9429573750000487500,4.3131813749998857500,24
1006,1,4.1047928333335145000,4.4481238333335491667,24
1006,3,5.1670345555554983333,5.4159225555555268889,24
1013,3,5.2147983750002141250,5.7097971250001365000,24
1013,2,4.1096269999999094000,4.4536243999998988000,24
1013,1,4.1082133333334240000,4.4448783333333115000,24
1008,3,5.1004351666668222500,5.5404335000001386667,25
1007,3,4.9983318333332441667,5.3883314999999547500,25
1007,1,3.9070571764704629412,4.2247034705881507059,25
1007,2,4.0149994375000943125,4.3099988125002539375,25
1008,2,4.1346913000000317000,4.4246897999998967000,25
1008,1,4.0986931250001817500,4.4411926250000421250,25
1013,1,3.9399990000001204444,4.2288873333333058889,25
1004,3,4.9934774285714930000,5.9849043571429255714,25
1014,1,4.2160622000004420000,4.5200616000005084000,25
1013,2,4.0279998000004526000,4.3199994000002336000,25
1014,2,4.0737790000001346667,4.4004449999999150000,25
1004,2,4.0409122307691038462,4.3470656153846834615,25
1001,1,4.0705793333331460000,4.3639116666664804444,25
1004,1,3.9928832666669527333,4.2808824666666928667,25
