team,base,average_aika,average_eteneminen,monthy
1012,3,5.1179730819673348033,5.7117410491803408852,7
1012,1,3.9955086530611674694,4.3204054693877164082,7
1015,3,5.0844165142857882000,5.6752715714285972000,7
1001,1,4.0398797812500114063,4.4037098593750094844,7
1001,2,4.0613932000000204222,4.4115893333332375111,7
1014,2,4.1044847358491938491,4.5116536792452795094,7
1001,3,5.0479215000000811364,6.1472402954545115227,7
1014,1,4.0991667179487777949,4.4347418461539653333,7
1014,3,5.1247957352941552353,5.7783235882354535588,7
1004,1,3.9993130555554688704,4.3193122777776925741,7
1004,3,5.0450796296295855741,5.7329382592590929444,7
1004,2,4.0487863673469784082,4.3928670408164013469,7
1005,1,4.0760576600000513400,4.4040857600000663800,7
1005,2,4.0177208245614932105,4.3303507719298076491,7
1005,3,5.0633863809524132222,5.5735168095238444603,7
1008,3,5.2128022307692145385,5.7035694615383713846,7
1008,2,4.2400774210527025263,4.5579707368421719474,7
1008,1,4.1197582399999738400,4.4885565600000700800,7
1001,2,4.1157199999999596667,4.4184966944443747222,8
1001,3,5.1160699230768981923,5.9772887692306978077,8
1001,1,4.0839777346939643265,4.4011198775510569184,8
1003,1,3.9596253725489808431,4.2933498235294533137,8
1003,3,5.0099985588235339118,5.4970891764706547059,8
1003,2,3.9159993200000644400,4.2391985399999976200,8
1010,1,4.0414714418606689535,4.3977496976744829535,8
1014,3,5.1276607499998839091,6.0003857499999227273,8
1014,2,4.0884084999999397885,4.4498578846153374423,8
1010,3,5.0817731458333051875,5.8214889999999191875,8
1010,2,4.0339541886792563019,4.4165943584905606415,8
1014,1,4.0604566349205241270,4.3966463015872796508,8
1012,1,3.9397378333332445417,4.3147372499999316250,8
1012,3,5.0101961666665413750,5.4541763333332939167,8
1004,2,4.0196813076924033590,4.4031941666667868077,8
1012,2,3.9656478648648463784,4.3294306486487105405,8
1004,1,4.0191829186046931628,4.4259259186046250116,8
1004,3,5.0330603170731752683,5.8673187682925678049,8
1008,1,4.1215868374999559500,4.5270861749999398250,8
1006,2,3.9444444838710524677,4.3260566451613306129,8
1008,2,4.1060536304348518478,4.4534441304348468478,8
1006,3,5.0715612653063256939,5.6274782857143951224,8
1006,1,3.9953811408450702254,4.3742533661971675775,8
1007,2,4.0834183777778436000,4.4327507111112154222,8
1011,1,4.0521184545454096364,4.4237725844155712597,8
1008,3,5.2268568500000696500,5.8643555249999508500,8
1007,3,5.0170023529412834706,5.7993538235293794118,8
1011,3,5.0381518536584913902,5.8254676829267671463,8
1011,2,3.9967992678572191250,4.3826359285715414643,8
